time_sec,ECG_II,ECG_II_filtered
0.298,0.03,0.005
0.3,0.005,0.0
0.302,0.04,-0.01
0.304,0.04,-0.02
0.306,0.075,-0.03
0.308,0.02,-0.035
0.31,0.025,-0.035
0.312,0.075,-0.035
0.314,0.05,-0.03
0.316,0.02,-0.025
0.318,-0.01,-0.02
0.32,0.015,-0.02
0.322,0.035,-0.025
0.324,0.025,-0.03
0.326,0.035,-0.035
0.328,0.005,-0.03
0.33,0.015,-0.02
0.332,0.08,0.005
0.334,0.125,0.045
0.336,0.17,0.1
0.338,0.215,0.17
0.34,0.345,0.255
0.342,0.455,0.35
0.344,0.515,0.445
0.346,0.555,0.53
0.348,0.705,0.605
0.35,0.795,0.66
0.352,0.835,0.69
0.354,0.765,0.69
0.356,0.695,0.66
0.358,0.665,0.61
0.36,0.55,0.535
0.362,0.43,0.44
0.364,0.365,0.34
0.366,0.31,0.24
0.368,0.22,0.14
0.37,0.085,0.055
0.372,0.0,-0.015
0.374,-0.04,-0.065
0.376,-0.05,-0.1
0.378,-0.085,-0.12
0.38,-0.06,-0.13
0.382,-0.08,-0.125
0.384,-0.07,-0.115
0.386,-0.065,-0.105
0.388,-0.02,-0.09
0.39,0.015,-0.075
0.392,0.015,-0.06
0.394,0.04,-0.045
0.396,0.06,-0.035
0.398,0.055,-0.025
0.4,0.05,-0.015
0.402,0.075,-0.01
0.404,0.05,-0.005
0.406,0.03,-0.01
0.408,0.035,-0.01
0.41,0.045,-0.02
0.412,0.06,-0.025
0.414,0.035,-0.035
0.416,0.0,-0.04
0.418,0.025,-0.045
0.42,0.045,-0.05
0.422,0.055,-0.05
0.424,-0.01,-0.045
0.426,-0.005,-0.04
0.428,0.02,-0.03
0.43,0.055,-0.015
0.432,0.125,-0.005
0.434,0.13,0.005
0.436,0.085,0.015
0.438,0.085,0.025
0.44,0.065,0.025
0.442,0.02,0.025
0.444,0.045,0.02
0.446,0.055,0.015
0.448,0.075,0.005
0.45,0.045,0.0
0.452,0.055,-0.005
0.454,0.07,-0.01
0.456,0.07,-0.01
0.458,0.04,-0.005
0.46,0.04,-0.005
0.462,0.015,0.0
0.464,0.075,0.005
0.466,0.105,0.005
0.468,0.095,0.005
0.47,0.05,0.0
0.472,0.015,0.0
0.474,0.04,-0.005
0.476,0.03,-0.005
0.478,0.065,0.0
0.48,0.06,0.005
0.482,0.105,0.01
0.484,0.12,0.02
0.486,0.11,0.03
0.488,0.12,0.035
0.49,0.08,0.04
0.492,0.08,0.045
0.494,0.07,0.045
0.496,0.125,0.04
0.498,0.095,0.035
0.5,0.065,0.03
0.502,0.1,0.025
0.504,0.095,0.025
0.506,0.07,0.02
0.508,0.03,0.02
0.51,0.07,0.02
0.512,0.12,0.02
0.514,0.125,0.025
0.516,0.06,0.025
0.518,0.085,0.03
0.52,0.095,0.03
0.522,0.105,0.035
0.524,0.135,0.045
0.526,0.175,0.05
0.528,0.14,0.06
0.53,0.125,0.065
0.532,0.125,0.075
0.534,0.16,0.08
0.536,0.145,0.085
0.538,0.115,0.085
0.54,0.095,0.085
0.542,0.135,0.085
0.544,0.165,0.08
0.546,0.165,0.08
0.548,0.14,0.08
0.55,0.16,0.08
0.552,0.175,0.09
0.554,0.195,0.1
0.556,0.205,0.11
0.558,0.175,0.125
0.56,0.175,0.14
0.562,0.17,0.15
0.564,0.23,0.16
0.566,0.22,0.165
0.568,0.22,0.165
0.57,0.21,0.16
0.572,0.2,0.15
0.574,0.22,0.145
0.576,0.19,0.135
0.578,0.155,0.13
0.58,0.18,0.13
0.582,0.225,0.13
0.584,0.22,0.13
0.586,0.2,0.135
0.588,0.215,0.135
0.59,0.16,0.13
0.592,0.14,0.125
0.594,0.13,0.115
0.596,0.165,0.105
0.598,0.18,0.095
0.6,0.135,0.085
0.602,0.12,0.075
0.604,0.14,0.07
0.606,0.135,0.065
0.608,0.11,0.06
0.61,0.105,0.06
0.612,0.1,0.055
0.614,0.125,0.055
0.616,0.13,0.05
0.618,0.085,0.045
0.62,0.07,0.04
0.622,0.085,0.03
0.624,0.085,0.02
0.626,0.065,0.015
0.628,0.07,0.005
0.63,0.065,-0.005
0.632,0.035,-0.015
0.634,0.035,-0.025
0.636,-0.01,-0.035
0.638,0.01,-0.04
0.64,0.075,-0.04
0.642,0.09,-0.04
0.644,0.015,-0.035
0.646,-0.02,-0.03
0.648,0.025,-0.02
0.65,0.085,-0.015
0.652,0.065,-0.01
0.654,0.01,-0.005
0.656,0.04,-0.005
0.658,0.075,-0.005
0.66,0.055,-0.005
0.662,0.09,-0.01
0.664,0.075,-0.005
0.666,0.055,-0.005
0.668,0.08,0.0
0.67,0.085,0.0
0.672,0.1,0.0
0.674,0.05,0.0
0.676,0.055,-0.005
0.678,0.005,-0.015
0.68,0.005,-0.025
0.682,0.025,-0.035
0.684,0.025,-0.04
0.686,0.015,-0.045
0.688,0.03,-0.045
0.69,0.04,-0.04
0.692,0.04,-0.03
0.694,0.055,-0.015
0.696,0.045,-0.005
0.698,0.07,0.0
0.7,0.06,0.0
0.702,0.03,0.0
0.704,0.045,-0.01
0.706,0.07,-0.02
0.708,0.03,-0.03
0.71,0.015,-0.04
0.712,0.03,-0.04
0.714,0.015,-0.04
0.716,0.015,-0.035
0.718,0.045,-0.03
0.72,0.085,-0.02
0.722,0.07,-0.015
0.724,0.03,-0.015
0.726,-0.005,-0.02
0.728,-0.005,-0.025
0.73,0.015,-0.035
0.732,0.055,-0.04
0.734,0.105,-0.045
0.736,0.05,-0.045
0.738,0.05,-0.04
0.74,-0.015,-0.03
0.742,0.0,-0.015
0.744,0.075,-0.005
0.746,0.085,0.005
0.748,0.07,0.005
0.75,0.04,0.005
0.752,0.03,-0.005
0.754,0.04,-0.02
0.756,0.005,-0.035
0.758,-0.02,-0.05
0.76,-0.01,-0.055
0.762,0.035,-0.055
0.764,0.015,-0.055
0.766,0.05,-0.045
0.768,0.02,-0.04
0.77,0.045,-0.03
0.772,0.03,-0.025
0.774,0.025,-0.025
0.776,0.035,-0.03
0.778,0.015,-0.035
0.78,0.04,-0.04
0.782,0.055,-0.045
0.784,0.035,-0.045
0.786,-0.015,-0.045
0.788,-0.015,-0.045
0.79,0.03,-0.04
0.792,0.06,-0.03
0.794,0.06,-0.025
0.796,0.025,-0.025
0.798,0.015,-0.025
0.8,0.015,-0.025
0.802,0.015,-0.025
0.804,0.03,-0.03
0.806,0.04,-0.035
0.808,0.01,-0.04
0.81,0.02,-0.045
0.812,0.02,-0.045
0.814,0.035,-0.05
0.816,0.005,-0.05
0.818,0.0,-0.05
0.82,0.03,-0.05
0.822,0.015,-0.05
0.824,0.02,-0.05
0.826,-0.01,-0.05
0.828,-0.01,-0.05
0.83,0.02,-0.05
0.832,0.065,-0.05
0.834,0.045,-0.05
0.836,0.0,-0.05
0.838,-0.01,-0.05
0.84,0.005,-0.05
0.842,-0.005,-0.045
0.844,-0.015,-0.045
0.846,0.0,-0.04
0.848,0.06,-0.04
0.85,0.06,-0.04
0.852,0.02,-0.04
0.854,0.04,-0.045
0.856,0.0,-0.05
0.858,-0.015,-0.055
0.86,-0.06,-0.065
0.862,-0.05,-0.07
0.864,-0.06,-0.075
0.866,0.01,-0.075
0.868,0.035,-0.07
0.87,0.005,-0.065
0.872,0.0,-0.055
0.874,0.05,-0.045
0.876,0.06,-0.04
0.878,0.05,-0.03
0.88,0.045,-0.025
0.882,0.025,-0.02
0.884,0.035,-0.02
0.886,0.05,-0.02
0.888,0.03,-0.025
0.89,0.025,-0.025
0.892,0.01,-0.025
0.894,0.025,-0.025
0.896,0.01,-0.03
0.898,0.02,-0.03
0.9,0.04,-0.035
0.902,0.03,-0.035
0.904,0.045,-0.04
0.906,0.02,-0.045
0.908,-0.015,-0.05
0.91,0.0,-0.05
0.912,0.03,-0.055
0.914,-0.015,-0.05
0.916,0.01,-0.05
0.918,0.03,-0.045
0.92,0.045,-0.045
0.922,0.05,-0.04
0.924,0.055,-0.03
0.926,0.05,-0.025
0.928,0.05,-0.02
0.93,0.06,-0.015
0.932,0.065,-0.01
0.934,0.045,-0.005
0.936,0.02,-0.005
0.938,0.045,-0.005
0.94,0.07,-0.005
0.942,0.06,-0.005
0.944,0.045,-0.01
0.946,0.035,-0.02
0.948,0.04,-0.025
0.95,0.005,-0.035
0.952,0.03,-0.04
0.954,-0.01,-0.045
0.956,-0.01,-0.05
0.958,-0.02,-0.055
0.96,0.005,-0.055
0.962,0.02,-0.055
0.964,0.04,-0.055
0.966,0.025,-0.06
0.968,0.01,-0.06
0.97,0.0,-0.06
0.972,0.0,-0.06
0.974,-0.03,-0.06
0.976,-0.01,-0.06
0.978,0.01,-0.055
0.98,0.0,-0.055
0.982,0.035,-0.055
0.984,0.035,-0.05
0.986,0.035,-0.05
0.988,0.0,-0.05
0.99,-0.01,-0.045
0.992,0.01,-0.05
0.994,0.01,-0.05
0.996,0.0,-0.05
0.998,-0.03,-0.055
1.0,-0.005,-0.06
1.002,0.015,-0.065
1.004,0.0,-0.07
1.006,-0.02,-0.07
1.008,-0.01,-0.075
1.01,0.01,-0.075
1.012,0.0,-0.075
1.014,-0.01,-0.075
1.016,-0.05,-0.07
1.018,-0.015,-0.065
1.02,0.015,-0.06
1.022,0.015,-0.06
1.024,-0.01,-0.055
1.026,-0.02,-0.06
1.028,-0.005,-0.06
1.03,-0.015,-0.06
1.032,-0.005,-0.06
1.034,-0.005,-0.05
1.036,-0.015,-0.025
1.038,0.075,0.01
1.04,0.15,0.065
1.042,0.21,0.14
1.044,0.285,0.225
1.046,0.43,0.32
1.048,0.48,0.415
1.05,0.58,0.505
1.052,0.69,0.58
1.054,0.78,0.63
1.056,0.73,0.65
1.058,0.695,0.64
1.06,0.635,0.595
1.062,0.54,0.53
1.064,0.405,0.445
1.066,0.365,0.345
1.068,0.35,0.245
1.07,0.265,0.145
1.072,0.13,0.06
1.074,-0.02,-0.015
1.076,-0.095,-0.08
1.078,-0.09,-0.125
1.08,-0.12,-0.155
1.082,-0.145,-0.17
1.084,-0.16,-0.18
1.086,-0.15,-0.175
1.088,-0.135,-0.16
1.09,-0.05,-0.145
1.092,0.025,-0.125
1.094,0.005,-0.1
1.096,-0.005,-0.08
1.098,0.005,-0.065
1.1,-0.025,-0.055
1.102,-0.02,-0.045
1.104,-0.02,-0.045
1.106,0.035,-0.045
1.108,0.05,-0.05
1.11,-0.005,-0.055
1.112,-0.025,-0.055
1.114,0.005,-0.055
1.116,0.03,-0.055
1.118,0.01,-0.05
1.12,-0.015,-0.045
1.122,0.005,-0.04
1.124,0.01,-0.035
1.126,0.025,-0.03
1.128,0.035,-0.03
1.13,0.02,-0.03
1.132,0.015,-0.035
1.134,-0.015,-0.04
1.136,0.005,-0.045
1.138,0.005,-0.045
1.14,0.015,-0.05
1.142,0.005,-0.05
1.144,0.03,-0.045
1.146,0.02,-0.045
1.148,0.03,-0.04
1.15,0.01,-0.04
1.152,0.02,-0.04
1.154,0.025,-0.045
1.156,0.035,-0.045
1.158,-0.005,-0.05
1.16,-0.02,-0.06
1.162,-0.03,-0.065
1.164,-0.01,-0.065
1.166,0.01,-0.07
1.168,-0.04,-0.065
1.17,-0.035,-0.06
1.172,0.005,-0.055
1.174,0.05,-0.05
1.176,0.05,-0.04
1.178,0.01,-0.035
1.18,0.01,-0.03
1.182,0.03,-0.025
1.184,0.02,-0.025
1.186,0.03,-0.025
1.188,0.055,-0.025
1.19,0.05,-0.02
1.192,0.04,-0.02
1.194,0.025,-0.02
1.196,0.04,-0.025
1.198,0.025,-0.025
1.2,0.04,-0.02
1.202,0.03,-0.02
1.204,0.04,-0.02
1.206,0.05,-0.015
1.208,0.06,-0.01
1.21,0.06,0.0
1.212,0.05,0.005
1.214,0.09,0.015
1.216,0.075,0.02
1.218,0.055,0.02
1.22,0.065,0.02
1.222,0.055,0.02
1.224,0.035,0.015
1.226,0.06,0.01
1.228,0.07,0.005
1.23,0.095,0.005
1.232,0.105,0.01
1.234,0.105,0.015
1.236,0.115,0.025
1.238,0.13,0.035
1.24,0.115,0.045
1.242,0.08,0.05
1.244,0.07,0.055
1.246,0.1,0.06
1.248,0.105,0.06
1.25,0.14,0.065
1.252,0.18,0.065
1.254,0.145,0.075
1.256,0.125,0.085
1.258,0.135,0.095
1.26,0.16,0.105
1.262,0.15,0.11
1.264,0.18,0.115
1.266,0.185,0.115
1.268,0.13,0.115
1.27,0.155,0.11
1.272,0.17,0.1
1.274,0.14,0.095
1.276,0.14,0.09
1.278,0.155,0.09
1.28,0.155,0.095
1.282,0.18,0.1
1.284,0.18,0.105
1.286,0.17,0.11
1.288,0.185,0.115
1.29,0.14,0.115
1.292,0.155,0.11
1.294,0.135,0.1
1.296,0.125,0.09
1.298,0.115,0.08
1.3,0.145,0.065
1.302,0.115,0.055
1.304,0.065,0.045
1.306,0.065,0.035
1.308,0.08,0.025
1.31,0.065,0.02
1.312,0.105,0.015
1.314,0.065,0.01
1.316,0.025,0.0
1.318,0.05,-0.005
1.32,0.06,-0.015
1.322,0.025,-0.02
1.324,0.035,-0.025
1.326,0.045,-0.03
1.328,0.04,-0.03
1.33,0.02,-0.03
1.332,-0.005,-0.03
1.334,0.01,-0.025
1.336,-0.025,-0.02
1.338,0.035,-0.02
1.34,0.035,-0.02
1.342,0.05,-0.02
1.344,0.05,-0.025
1.346,0.005,-0.03
1.348,-0.005,-0.035
1.35,0.025,-0.04
1.352,0.03,-0.05
1.354,-0.015,-0.055
1.356,-0.025,-0.055
1.358,-0.07,-0.06
1.36,-0.07,-0.06
1.362,0.005,-0.055
1.364,0.045,-0.055
1.366,0.03,-0.055
1.368,0.03,-0.05
1.37,0.025,-0.045
1.372,0.015,-0.045
1.374,-0.015,-0.04
1.376,0.01,-0.04
1.378,0.035,-0.035
1.38,0.02,-0.035
1.382,-0.015,-0.035
1.384,0.01,-0.035
1.386,0.0,-0.04
1.388,-0.005,-0.045
1.39,-0.005,-0.05
1.392,-0.02,-0.055
1.394,0.0,-0.06
1.396,0.01,-0.065
1.398,-0.005,-0.065
1.4,-0.01,-0.065
1.402,-0.015,-0.06
1.404,-0.035,-0.055
1.406,0.015,-0.05
1.408,0.04,-0.04
1.41,0.035,-0.04
1.412,0.035,-0.035
1.414,0.015,-0.035
1.416,-0.005,-0.04
1.418,-0.03,-0.04
1.42,-0.025,-0.045
1.422,-0.015,-0.05
1.424,0.01,-0.055
1.426,0.015,-0.055
1.428,0.005,-0.055
1.43,0.0,-0.055
1.432,-0.02,-0.05
1.434,-0.04,-0.045
1.436,-0.05,-0.045
1.438,0.0,-0.04
1.44,0.02,-0.04
1.442,0.005,-0.045
1.444,0.01,-0.05
1.446,0.0,-0.055
1.448,0.0,-0.06
1.45,-0.015,-0.07
1.452,-0.01,-0.075
1.454,-0.05,-0.085
1.456,-0.05,-0.09
1.458,-0.025,-0.09
1.46,-0.005,-0.085
1.462,0.01,-0.08
1.464,-0.005,-0.075
1.466,0.0,-0.065
1.468,0.0,-0.055
1.47,0.05,-0.045
1.472,0.015,-0.04
1.474,-0.02,-0.04
1.476,-0.045,-0.045
1.478,-0.05,-0.05
1.48,-0.025,-0.06
1.482,-0.04,-0.065
1.484,0.035,-0.07
1.486,0.02,-0.075
1.488,0.01,-0.07
1.49,-0.005,-0.06
1.492,0.025,-0.05
1.494,-0.01,-0.04
1.496,-0.01,-0.03
1.498,-0.02,-0.03
1.5,-0.01,-0.03
1.502,0.0,-0.035
1.504,0.015,-0.045
1.506,0.005,-0.06
1.508,-0.035,-0.07
1.51,-0.07,-0.08
1.512,-0.035,-0.085
1.514,0.01,-0.085
1.516,-0.02,-0.08
1.518,-0.015,-0.075
1.52,0.005,-0.07
1.522,0.015,-0.06
1.524,0.01,-0.055
1.526,0.005,-0.055
1.528,0.005,-0.055
1.53,-0.015,-0.055
1.532,-0.035,-0.06
1.534,-0.03,-0.06
1.536,0.0,-0.06
1.538,-0.005,-0.055
1.54,0.025,-0.055
1.542,0.02,-0.055
1.544,0.02,-0.05
1.546,-0.01,-0.055
1.548,0.01,-0.055
1.55,-0.005,-0.06
1.552,-0.04,-0.06
1.554,-0.07,-0.065
1.556,-0.11,-0.06
1.558,-0.025,-0.055
1.56,0.055,-0.05
1.562,0.085,-0.04
1.564,0.075,-0.03
1.566,0.03,-0.025
1.568,0.015,-0.02
1.57,0.025,-0.015
1.572,0.025,-0.02
1.574,0.04,-0.02
1.576,0.015,-0.025
1.578,0.045,-0.03
1.58,0.03,-0.03
1.582,0.05,-0.025
1.584,0.065,-0.02
1.586,0.06,-0.015
1.588,0.065,-0.01
1.59,0.045,-0.015
1.592,0.015,-0.02
1.594,-0.02,-0.025
1.596,-0.025,-0.04
1.598,-0.085,-0.05
1.6,-0.065,-0.06
1.602,0.0,-0.065
1.604,0.065,-0.065
1.606,0.045,-0.06
1.608,0.02,-0.045
1.61,0.05,-0.035
1.612,0.055,-0.02
1.614,0.035,-0.015
1.616,0.0,-0.01
1.618,-0.025,-0.015
1.62,0.0,-0.025
1.622,0.01,-0.04
1.624,0.005,-0.05
1.626,-0.015,-0.065
1.628,0.015,-0.07
1.63,0.03,-0.075
1.632,-0.02,-0.07
1.634,-0.005,-0.065
1.636,-0.005,-0.055
1.638,-0.02,-0.045
1.64,-0.005,-0.04
1.642,0.0,-0.04
1.644,0.005,-0.04
1.646,0.025,-0.04
1.648,0.015,-0.045
1.65,-0.015,-0.055
1.652,-0.04,-0.06
1.654,0.005,-0.065
1.656,0.01,-0.07
1.658,-0.035,-0.075
1.66,-0.025,-0.075
1.662,-0.03,-0.07
1.664,0.015,-0.065
1.666,0.02,-0.055
1.668,0.01,-0.045
1.67,-0.005,-0.035
1.672,0.02,-0.025
1.674,0.01,-0.02
1.676,0.005,-0.02
1.678,0.005,-0.02
1.68,-0.025,-0.025
1.682,-0.02,-0.025
1.684,0.065,-0.02
1.686,0.065,-0.005
1.688,0.115,0.03
1.69,0.135,0.085
1.692,0.195,0.165
1.694,0.34,0.255
1.696,0.445,0.36
1.698,0.505,0.465
1.7,0.62,0.555
1.702,0.745,0.63
1.704,0.795,0.675
1.706,0.785,0.685
1.708,0.775,0.66
1.71,0.65,0.605
1.712,0.485,0.525
1.714,0.39,0.43
1.716,0.325,0.32
1.718,0.295,0.22
1.72,0.23,0.125
1.722,0.11,0.04
1.724,-0.055,-0.025
1.726,-0.115,-0.075
1.728,-0.065,-0.105
1.73,-0.065,-0.125
1.732,-0.085,-0.135
1.734,-0.105,-0.135
1.736,-0.09,-0.13
1.738,-0.09,-0.125
1.74,-0.07,-0.115
1.742,-0.04,-0.105
1.744,0.015,-0.095
1.746,0.02,-0.085
1.748,-0.01,-0.075
1.75,-0.03,-0.065
1.752,-0.03,-0.055
1.754,-0.015,-0.045
1.756,0.035,-0.035
1.758,0.04,-0.025
1.76,0.035,-0.02
1.762,0.055,-0.015
1.764,0.04,-0.015
1.766,0.035,-0.015
1.768,0.045,-0.025
1.77,0.02,-0.03
1.772,0.03,-0.04
1.774,-0.005,-0.045
1.776,-0.005,-0.055
1.778,0.0,-0.055
1.78,0.01,-0.055
1.782,0.03,-0.05
1.784,0.045,-0.04
1.786,0.065,-0.035
1.788,0.07,-0.025
1.79,0.055,-0.02
1.792,0.05,-0.015
1.794,0.04,-0.01
1.796,0.025,-0.01
1.798,0.02,-0.01
1.8,0.035,-0.015
1.802,0.03,-0.015
1.804,0.03,-0.02
1.806,0.045,-0.02
1.808,0.035,-0.02
1.81,0.025,-0.02
1.812,0.02,-0.02
1.814,0.035,-0.02
1.816,0.03,-0.02
1.818,0.045,-0.02
1.82,0.055,-0.015
1.822,0.055,-0.015
1.824,0.02,-0.01
1.826,0.035,-0.01
1.828,0.05,-0.005
1.83,0.05,-0.005
1.832,0.065,-0.005
1.834,0.03,0.0
1.836,0.075,0.0
1.838,0.03,0.005
1.84,0.07,0.005
1.842,0.065,0.01
1.844,0.04,0.01
1.846,0.07,0.015
1.848,0.085,0.015
1.85,0.065,0.01
1.852,0.04,0.01
1.854,0.025,0.01
1.856,0.015,0.01
1.858,0.065,0.01
1.86,0.095,0.015
1.862,0.09,0.02
1.864,0.09,0.025
1.866,0.06,0.035
1.868,0.025,0.045
1.87,0.105,0.05
1.872,0.125,0.055
1.874,0.11,0.06
1.876,0.12,0.065
1.878,0.125,0.065
1.88,0.13,0.065
1.882,0.125,0.065
1.884,0.115,0.07
1.886,0.12,0.07
1.888,0.1,0.07
1.89,0.08,0.07
1.892,0.1,0.065
1.894,0.135,0.065
1.896,0.17,0.065
1.898,0.19,0.07
1.9,0.145,0.075
1.902,0.125,0.08
1.904,0.12,0.095
1.906,0.19,0.105
1.908,0.18,0.12
1.91,0.155,0.135
1.912,0.2,0.145
1.914,0.2,0.15
1.916,0.17,0.155
1.918,0.2,0.155
1.92,0.215,0.15
1.922,0.185,0.145
1.924,0.215,0.145
1.926,0.215,0.145
1.928,0.2,0.145
1.93,0.2,0.145
1.932,0.19,0.15
1.934,0.18,0.15
1.936,0.165,0.15
1.938,0.155,0.145
1.94,0.145,0.135
1.942,0.15,0.125
1.944,0.135,0.11
1.946,0.145,0.095
1.948,0.14,0.085
1.95,0.125,0.075
1.952,0.105,0.07
1.954,0.11,0.065
1.956,0.11,0.06
1.958,0.115,0.055
1.96,0.085,0.05
1.962,0.08,0.04
1.964,0.06,0.025
1.966,0.045,0.015
1.968,-0.01,0.0
1.97,0.03,-0.015
1.972,0.035,-0.025
1.974,0.06,-0.035
1.976,0.01,-0.035
1.978,-0.02,-0.035
1.98,0.035,-0.03
1.982,0.05,-0.02
1.984,0.04,-0.015
1.986,0.015,-0.01
1.988,0.04,-0.01
1.99,0.06,-0.01
1.992,0.01,-0.015
1.994,0.005,-0.02
1.996,0.05,-0.025
1.998,0.015,-0.025
2.0,-0.005,-0.025
2.002,0.055,-0.025
2.004,0.055,-0.025
2.006,0.03,-0.02
2.008,0.01,-0.015
2.01,-0.01,-0.015
2.012,-0.01,-0.015
2.014,0.01,-0.02
2.016,0.025,-0.025
2.018,0.035,-0.03
2.02,0.06,-0.03
2.022,0.03,-0.035
2.024,0.0,-0.035
2.026,-0.045,-0.035
2.028,-0.015,-0.03
2.03,0.04,-0.03
2.032,0.035,-0.025
2.034,0.045,-0.02
2.036,0.05,-0.015
2.038,0.03,-0.01
2.04,0.015,-0.01
2.042,0.03,-0.015
2.044,0.05,-0.02
2.046,0.05,-0.025
2.048,0.01,-0.035
2.05,0.01,-0.045
2.052,-0.03,-0.05
2.054,-0.05,-0.055
2.056,-0.04,-0.055
2.058,0.04,-0.05
2.06,0.085,-0.04
2.062,0.035,-0.03
2.064,0.01,-0.02
2.066,0.04,-0.01
2.068,0.05,0.0
2.07,0.07,0.0
2.072,0.055,-0.005
2.074,0.015,-0.015
2.076,-0.03,-0.03
2.078,-0.015,-0.045
2.08,0.02,-0.055
2.082,0.045,-0.065
2.084,0.005,-0.07
2.086,0.01,-0.07
2.088,-0.04,-0.065
2.09,-0.03,-0.055
2.092,0.01,-0.045
2.094,0.02,-0.04
2.096,0.025,-0.03
2.098,0.005,-0.03
2.1,0.005,-0.025
2.102,-0.015,-0.025
2.104,0.015,-0.025
2.106,0.05,-0.025
2.108,0.055,-0.02
2.11,0.03,-0.02
2.112,0.015,-0.02
2.114,0.03,-0.02
2.116,0.03,-0.02
2.118,0.06,-0.025
2.12,0.02,-0.03
2.122,0.0,-0.035
2.124,0.015,-0.035
2.126,0.035,-0.04
2.128,0.01,-0.04
2.13,-0.025,-0.04
2.132,0.015,-0.035
2.134,0.01,-0.035
2.136,0.0,-0.035
2.138,0.01,-0.035
2.14,0.005,-0.04
2.142,-0.025,-0.045
2.144,0.015,-0.05
2.146,0.03,-0.05
2.148,0.04,-0.05
2.15,0.03,-0.045
2.152,0.01,-0.04
2.154,0.03,-0.035
2.156,0.03,-0.03
2.158,0.01,-0.025
